player,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,timer,is_round_over,up,down,left,right,A,B,X,Y,start,select,L,R,p1_move_0,p1_move_1,p1_move_2,p1_move_3,p1_move_4,p1_move_5,p2_move_0,p2_move_1,p2_move_2,p2_move_3,p2_move_4,p2_move_5
1,1,100,243,192,0,0,2,100,377,192,0,0,119,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1
1,0,100,276,180,0,0,0,100,420,192,0,0,64,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
2,3,100,233,192,0,0,7,100,128,192,0,0,103,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
2,10,10,167,194,0,0,9,100,75,192,0,0,81,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
1,10,95,330,41,0,0,9,30,448,177,0,0,103,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
2,4,52,114,192,0,0,4,94,186,192,0,0,86,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
1,0,88,363,192,0,0,4,84,159,192,0,0,51,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
1,10,92,112,194,0,0,9,100,255,190,0,0,84,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1,6,100,52,176,0,0,7,100,223,192,0,0,77,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1
1,10,96,150,192,0,0,5,100,220,98,0,0,81,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1
1,0,24,423,192,0,0,4,63,214,192,0,0,9,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1
1,0,100,407,192,0,0,4,100,197,180,0,0,114,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,0,100,453,182,0,0,4,100,168,192,0,0,21,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
1,8,100,218,185,0,0,1,100,340,185,0,0,108,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1
1,6,100,202,192,0,0,7,100,336,159,0,0,120,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,0,100,292,172,0,0,4,84,139,192,0,0,70,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0
1,10,100,212,192,0,0,5,100,242,192,0,0,86,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0
1,0,100,140,194,0,0,0,100,321,177,0,0,118,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
1,1,100,208,192,0,0,2,100,366,168,0,0,120,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
1,0,28,220,192,0,0,0,100,316,192,0,0,66,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1
1,0,39,345,184,0,0,4,61,208,192,0,0,46,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
2,4,100,35,192,0,0,4,100,106,192,0,0,117,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1,8,40,84,159,0,0,1,100,129,192,0,0,24,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,100,147,194,0,0,0,100,360,192,0,0,29,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0
1,0,100,162,192,0,0,4,84,331,192,0,0,84,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,6,100,202,192,0,0,7,100,341,192,0,0,120,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,4,49,157,153,0,0,2,100,244,192,0,0,41,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,100,342,173,0,0,4,84,141,192,0,0,56,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,10,8,121,194,0,0,9,100,66,186,0,0,97,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1
1,0,100,407,192,0,0,4,100,197,192,0,0,112,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
1,0,100,144,192,0,0,0,100,354,192,0,0,120,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0
2,10,100,207,192,0,0,9,100,314,192,0,0,120,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,0,100,197,192,0,0,4,84,336,192,0,0,72,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,100,296,192,0,0,0,100,235,192,0,0,120,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
2,0,72,387,194,0,0,4,64,279,141,0,0,92,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,6,100,143,192,0,0,7,100,203,192,0,0,120,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1
1,10,100,148,192,0,0,5,100,101,184,0,0,105,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1
2,0,100,378,194,0,0,4,100,252,192,0,0,113,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
1,0,100,333,193,0,0,4,77,127,192,0,0,96,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
1,6,100,128,188,0,0,7,100,20,185,0,0,42,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1,0,100,150,171,0,0,0,100,215,182,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
1,10,40,55,192,0,0,9,100,236,170,0,0,99,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1,0,100,386,192,0,0,4,100,178,192,0,0,100,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1
2,0,66,289,192,0,0,4,63,361,192,0,0,22,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
1,0,94,250,192,0,0,0,100,362,143,0,0,98,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,4,30,167,177,0,0,2,70,103,156,0,0,97,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1
2,10,100,147,194,0,0,9,100,308,192,0,0,65,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
2,0,66,389,192,0,0,4,84,180,192,0,0,37,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1
2,0,100,340,192,0,0,4,84,150,166,0,0,55,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,6,100,109,192,0,0,7,100,277,192,0,0,115,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,4,46,232,186,0,0,2,100,187,176,0,0,37,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
1,4,74,176,192,0,0,2,100,229,192,0,0,117,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1
1,10,100,169,176,0,0,5,100,333,187,0,0,43,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
1,10,100,415,147,0,0,9,100,134,192,0,0,120,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
2,0,100,355,194,0,0,4,100,206,154,0,0,72,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,8,100,242,194,0,0,1,100,247,191,0,0,110,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1,0,100,266,186,0,0,4,100,227,170,0,0,83,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,4,13,117,191,0,0,2,62,94,183,0,0,59,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0
2,10,13,55,192,0,0,9,100,235,192,0,0,96,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
1,0,100,262,138,0,0,4,100,307,192,0,0,120,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1
1,4,52,114,192,0,0,4,94,190,192,0,0,86,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
1,4,52,114,192,0,0,4,94,181,163,0,0,85,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,10,12,118,82,0,0,9,87,299,10,0,0,36,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
2,0,83,388,190,0,0,4,86,158,161,0,0,60,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1
1,8,100,154,184,0,0,1,100,248,184,0,0,57,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1
1,0,100,145,192,0,0,0,100,354,192,0,0,120,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
1,8,49,62,190,0,0,1,100,95,192,0,0,109,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
1,0,100,298,192,0,0,0,100,419,192,0,0,114,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1
1,8,79,168,192,0,0,1,100,66,192,0,0,112,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
1,8,15,55,192,0,0,1,100,117,192,0,0,99,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
2,0,100,121,141,0,0,4,100,297,182,0,0,49,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0
1,4,100,203,192,0,0,4,100,308,192,0,0,120,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,0,92,309,132,0,0,0,100,451,192,0,0,95,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
1,4,60,164,182,0,0,4,100,261,189,0,0,66,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
2,0,66,389,192,0,0,4,84,229,129,0,0,36,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
1,8,100,258,179,0,0,1,100,291,191,0,0,50,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
2,0,85,354,185,0,0,4,76,133,192,0,0,6,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
2,4,100,209,194,0,0,4,100,220,145,0,0,75,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1
1,10,100,251,194,0,0,5,100,160,192,0,0,55,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,10,94,103,192,0,0,9,100,62,192,0,0,113,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
